Câu hỏi,Text đáp án,Lựa chọn A,Lựa chọn B,Lựa chọn C,Lựa chọn D,Đáp án đúng,Điểm
Kết quả của đoạn code: np.arange(5) * 2,[0 2 4 6 8],[0 2 4 6 8],[0 1 2 3 4],[2 4 6 8 10],Lỗi,A,1
"np.array([3.7, -1.2]).astype(int)","[3, -1]","[3, -1]","[4, -1]","[3, -2]",Lỗi,A,1
"np.arange(8).reshape(2,4).T.shape","(4,2)","(2,4)","(4,2)","(8,)",Lỗi,B,1
"np.sqrt(np.array([1,4,9]))","[1.0,2.0,3.0]","[1,2,3]","[1,4,9]","[1.0,2.0,3.0]",Lỗi,C,1
"np.where([True,False,True],[1,2,3],[9,9,9])","[1,9,3]","[1,9,3]","[1,2,3]","[9,2,9]",Lỗi,A,1
"arr=np.array([[1,2],[3,4]]); arr.sum()",10,10,"[4,6]","[3,7]",Lỗi,A,1
"np.array([1,2,3]).cumsum()","[1,3,6]","[1,2,3]","[1,3,6]",6,Lỗi,B,1
"np.array([3,-1,2]).mean()",1.333...,4,1.333...,1.5,Lỗi,B,1
"arr=np.array([3,-1,2]); (arr>0).sum()",2,1,2,3,Lỗi,B,1
"arr=np.array([3,-1,2]); arr.sort(); arr",[-1 2 3],[-1 2 3],[3 -1 2],[2 3 -1],Lỗi,A,1
"np.unique([3,3,2,1,2])","[1,2,3]","[3,3,2,1,2]","[1,2,3]","[3,2,1]",Lỗi,B,1
"np.isin([1,2,3],[2,4])","[False,True,False]","[False,True,False]","[True,False,True]","[False,True,True]",Lỗi,A,1
"np.dot(np.array([1,2]), np.array([3,4]))",11,"[3,8]",11,7,Lỗi,B,1
Đọc file 'sample_data.csv' với header=None. Tên của cột đầu tiên là gì? (df.columns[0]),Unnamed: 0',0,Unnamed: 0',IndexError,None,B,1
"Đọc file 'sample_data.csv' với names=['A','B','C']. df.columns.tolist() trả về?","['A','B','C']","['A','B','C']","['0','1','2']","['Name','Age','Score']",Lỗi,A,1
"Đọc file với index_col=0, df.index.name là?",Tên cột đầu tiên,Tên cột đầu tiên,None,0,Lỗi,A,1
pd.read_csv('sample_data.csv').shape trả về gì?,"(số dòng, số cột)","(số dòng, số cột)","(số cột, số dòng)",tuple rỗng,Lỗi,A,1
pd.read_csv('sample_data.csv').head(3).shape[0] trả về gì?,3,3,5,10,Lỗi,A,1
"pd.DataFrame({'A':[1,np.nan,3]}) dùng df.dropna().shape[0] sẽ trả về?",1,2,3,1,Lỗi,C,1
"pd.DataFrame({'A':[1,np.nan,3]}).fillna(method='ffill').isna().sum().sum() trả về?",Lỗi,0,1,NaN,Lỗi,D,1
"pd.DataFrame({'col':['abc','AbC','xyz']}).col.str.contains('abc',case=False).sum()",2,2,1,0,Lỗi,A,1
"pd.Series([1,2,3,3,2]).value_counts().sort_index().index[0]",1,1,3,2,Lỗi,A,1
"df = pd.DataFrame({'A':[1,2],'B':[3,4]}); df.to_csv('out.csv', index=False) sẽ tạo file CSV với?",Không có cột index,Không có cột index,Có thêm cột index,Chỉ cột A,Lỗi,A,1
"df=pd.DataFrame({'A':[1,np.nan,3]}); df['A'].isnull().sum()",1,1,0,2,Lỗi,A,1
"df=pd.DataFrame({'A':[1,2,3]}); df.set_index('A').index.name",index',A',None,index',Lỗi,C,1
"df=pd.DataFrame({'A':[1,2,3]}); df.reset_index().index[0]",0,0,1,A',Lỗi,A,1
"df=pd.DataFrame({'A':[1,2,3]}); type(df.to_dict())",dict,dict,DataFrame,Series,list,A,1
"df=pd.DataFrame({'A':[1,2,3]}); df['A'].mean()",2,2,3,1.5,Lỗi,A,1
"df=pd.DataFrame({'A':[1,2,3]}); df['A'].sum()",6,6,3,5,Lỗi,A,1
"df=pd.DataFrame({'A':[1,2,3]}); df['A'].cumsum().tolist()","[1,3,6]","[1,3,6]","[1,2,3]","[6,5,3]",Lỗi,A,1
"df=pd.DataFrame({'A':[1,2,3]}); df['A'].apply(lambda x:x**2).tolist()","[1,4,9]","[1,4,9]","[1,2,3]","[2,3,4]",Lỗi,A,1
"df=pd.DataFrame({'A':[1,2,3]}); df.sort_values('A',ascending=False)['A'].tolist()","[1,2,3]","[3,2,1]","[1,2,3]","[2,1,3]",Lỗi,B,1
"df=pd.DataFrame({'A':[1,1,2]}); df['A'].unique().tolist()","[1,1,2]","[1,2]","[2,1]","[1,1,2]",Lỗi,C,1
"df=pd.DataFrame({'A':[1,1,2]}); df['A'].nunique()",2,2,3,1,Lỗi,A,1
"df=pd.DataFrame({'A':[1,2,3]}); df.query('A>1').shape[0]",2,2,1,3,Lỗi,A,1
"df=pd.DataFrame({'A':[1,2,3],'B':[3,4,5]}); df[['A','B']].sum().tolist()","[6,12]","[6,12]","[12,6]","[3,4,5]",Lỗi,A,1
"df=pd.DataFrame({'A':[1,2,3]}); df.rename(columns={'A':'X'}).columns[0]",X',X',A',0,Lỗi,A,1
"df=pd.DataFrame({'A':[1,2,3]}); 'A' in df.columns",TRUE,TRUE,FALSE,None,Lỗi,A,1
"df=pd.DataFrame({'A':[1,2,3]}); df.info().__class__.__name__",NoneType,NoneType,DataFrame,str,dict,A,1
"df=pd.DataFrame({'A':[1,2,3]}); df.shape","(3,1)","(3,1)","(1,3)","(3,3)",Lỗi,A,1
x = 4; print(type(x)),int,int,float,str,bool,A,1
print(5 / 2),2.5,2.5,2,3,Lỗi,A,1
print(5 // 2),3,2.5,2,3,Lỗi,C,1
print(5 % 2),1,2.5,1,0,Lỗi,B,1
print(2 ** 3),8,6,8,9,Lỗi,B,1
my_str = 'Hello'; my_str.lower(),HELLO',hello',HELLO',Hello',Lỗi,B,1
 hello '.strip(), hello', hello ',hello', hello',Lỗi,C,1
"abc'.replace('a','b')",Lỗi,bbc',abc',bac',Lỗi,D,1
a b c'.split(),"['a','b','c']",['a b c'],"['a','b','c']","('a','b','c')",Lỗi,B,1
"my_list = [1,2,3]; my_list[0]",1,1,2,3,Lỗi,A,1
"my_list = [1,2,3]; my_list[-1]",3,3,2,1,Lỗi,A,1
"my_list = [1,2,3]; my_list[1:3]","[2,3]","[1,2]","[2,3]","[1,2,3]",Lỗi,B,1
"{1,2,3} == {3,2,1}",TRUE,FALSE,TRUE,Lỗi,None,B,1
"names = ['A','B','C']; names[0] = 'Z'; names","['Z','B','C']","['A','B','C']","['Z','B','C']","['A','B','Z']",Lỗi,B,1
"x = (1,2,3); x[0]",1,1,2,3,Lỗi,A,1
house = {'price':10}; house['price']=15; house['price'],15,10,15,None,Lỗi,B,1
[i for i in range(5) if i%2==0],"[0,2,4]","[0,2,4]","[1,3]","[0,1,2,3,4]",Lỗi,A,1
def square(x): return x**2; square(3),9,6,9,3,Lỗi,B,1
add_one = lambda x:x+1; add_one(5),6,6,5,4,Lỗi,A,1
